City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,dabola,10.75,-11.1167,16.03,23,100,1.14,GN,1703128758
83,saipan,15.1355,145.701,30.39,70,0,6.69,MP,1703128758
84,lau,9.2167,11.2833,23.09,31,33,1.44,NG,1703128758
85,riberalta,-10.9833,-66.1,24.71,92,70,0.81,BO,1703128759
86,chonchi,-42.6128,-73.8092,10.62,97,24,1.3,CL,1703128759
87,whitehorse,60.7161,-135.0538,-8.57,86,40,1.54,CA,1703128759
88,mocimboa,-11.3167,40.35,24.38,95,100,1.66,MZ,1703128759
89,hawaiian paradise park,19.5933,-154.9731,22.8,95,100,2.57,US,1703128517
90,minas de marcona,-15.2119,-75.1103,15.8,83,87,4.76,PE,1703128759
91,botro,7.8525,-5.3106,20.34,22,1,2.2,CI,1703128759
92,carnarvon,-24.8667,113.6333,25.62,65,3,4.59,AU,1703128759
93,trapani,37.8333,12.6667,11.82,93,40,2.57,IT,1703128472
94,cuito,-12.3833,16.9333,15.94,94,100,1.63,AO,1703128760
95,vorkuta,67.5,64.0,-11.02,96,100,4.2,RU,1703128760
96,nar'yan-mar,67.6713,53.087,-8.83,97,80,2.68,RU,1703128760
97,guozhen,34.3659,107.359,-3.9,43,23,2.51,CN,1703128760
98,invercargill,-46.4,168.35,14.11,69,99,1.69,NZ,1703128760
99,byalynichy,53.9983,29.7126,1.54,96,100,6.94,BY,1703128760
100,gladstone,-23.85,151.25,29.32,74,100,4.12,AU,1703128760
101,flagstaff,35.1981,-111.6513,5.29,90,40,0.45,US,1703128681
102,nuuk,64.1835,-51.7216,-6.66,68,100,3.6,GL,1703128487
103,gorgan,36.8387,54.4348,-1.02,100,1,0.0,IR,1703128761
104,cockburn town,21.4612,-71.1419,24.48,71,67,11.49,TC,1703128761
105,georgetown,5.4112,100.3354,30.97,66,20,4.63,MY,1703128761
106,klyuchi,52.2667,79.1667,-7.47,85,100,7.16,RU,1703128761
107,ribeira grande,38.5167,-28.7,16.54,80,93,1.34,PT,1703128761
108,morbegno,46.1383,9.57,8.2,55,29,3.3,IT,1703128761
109,mermoz boabab,14.7065,-17.4758,21.88,30,100,8.23,SN,1703128761
110,isafjordur,66.0755,-23.124,-5.55,90,99,5.41,IS,1703128761
111,san patricio,28.017,-97.5169,20.92,78,55,3.55,US,1703128761
112,santa ana,33.7456,-117.8678,17.66,92,100,3.6,US,1703128762
113,xam nua,20.4197,104.0439,12.56,75,100,1.64,LA,1703128762
114,olonkinbyen,70.9221,-8.7187,-7.11,77,100,9.27,SJ,1703128762
115,gwadar,25.1216,62.3254,20.53,61,97,3.08,PK,1703128762
116,quellon,-43.1167,-73.6167,10.86,91,28,2.04,CL,1703128762
117,yurimaguas,-5.9,-76.0833,25.12,81,100,0.58,PE,1703128762
118,tiksi,71.6872,128.8694,-20.96,92,93,3.81,RU,1703128762
119,mooirivier,-29.2082,29.9946,17.69,87,97,2.05,ZA,1703128762
120,petropavlovsk-kamchatsky,53.0452,158.6483,-12.67,66,0,5.0,RU,1703128762
121,shakawe,-18.3667,21.85,21.3,90,100,2.15,BW,1703128763
122,ust'-ilimsk,58.0006,102.6619,-28.09,91,48,1.34,RU,1703128763
123,lata,40.1629,-8.3327,3.37,89,2,1.6,PT,1703128763
124,goba,7.0167,39.9833,9.58,85,44,1.12,ET,1703128763
125,lihue,21.9789,-159.3672,19.77,88,100,9.26,US,1703128763
126,baruun-urt,46.6806,113.2792,-24.71,79,5,3.06,MN,1703128763
127,bilibino,68.0546,166.4372,-28.63,99,100,1.1,RU,1703128763
128,grytviken,-54.2811,-36.5092,2.34,85,38,5.0,GS,1703128763
129,muisne,0.6,-80.0333,25.5,88,62,2.34,EC,1703128763
130,adrar,20.5022,-10.0711,9.82,39,65,4.76,MR,1703128764
131,simanggang,1.2472,111.4528,30.99,74,40,1.03,MY,1703128764
132,cabo san lucas,22.8909,-109.9124,24.86,79,75,1.54,MX,1703128553
133,xai-xai,-25.0519,33.6442,20.2,89,1,2.85,MZ,1703128764
134,papatowai,-46.5619,169.4708,12.65,73,100,2.55,NZ,1703128764
135,santa fe do sul,-20.2111,-50.9258,28.98,41,99,2.39,BR,1703128526
136,crucecita,-28.95,-58.9833,21.28,85,100,2.85,AR,1703128764
137,hadibu,12.65,54.0333,24.94,87,68,6.02,YE,1703128764
138,sitka,57.0531,-135.33,5.94,70,20,5.14,US,1703128765
139,port mathurin,-19.6833,63.4167,26.69,81,100,8.33,MU,1703128765
140,alice springs,-23.7,133.8833,33.75,13,0,5.66,AU,1703128765
141,spring lake,35.1679,-78.9728,0.72,81,0,1.54,US,1703128765
142,zabid,14.1951,43.3152,22.75,72,5,0.63,YE,1703128765
143,yanbu,24.0891,38.0637,21.02,73,0,0.0,SA,1703128765
144,baiao,-2.7906,-49.6717,23.57,97,100,0.93,BR,1703128765
145,keflavik,64.0049,-22.5624,-1.05,69,75,11.32,IS,1703128765
146,arraial do cabo,-22.9661,-42.0278,23.75,85,81,2.65,BR,1703128758
147,kotido,2.9806,34.1331,21.98,58,77,1.51,UG,1703128766
148,khilok,51.3674,110.4676,-20.7,69,10,1.15,RU,1703128766
149,kayyerkan,69.3786,87.7439,-15.39,84,100,6.95,RU,1703128766
150,harlingen,26.1906,-97.6961,20.5,92,0,3.6,US,1703128766
151,sogndal,61.2283,7.1003,0.21,93,100,1.03,NO,1703128766
152,thompson,55.7435,-97.8558,-15.91,85,100,2.06,CA,1703128766
153,kotri,25.366,68.3122,17.26,20,33,2.78,PK,1703128766
